budget,movie_id,popularity,release_date,revenue,runtime,status,tagline,movie_title,vote_average,vote_count,language,full_original_name,country_short,country_name,release_date_season,oscar_year,year_of_release,award,actor_id,actor,director_id,director_name,genres,keywords,production,release_year,release_month,release_dayofweek,release_year_bins
72000000.0,25,32.2,2005-11-04,96889998.0,125,Released,Welcome to the suck.,Jarhead,6.6,800,en,English,DE,Germany,Fall,0,0,Non-nominee,134,Jamie Foxx,39,Sam Mendes,"Drama, War","sniper, marine corps, saudi arabia, petrol, golf war, u.s. marine","Universal Pictures, Neal Street Productions, Red Wagon Entertainment, Motion Picture KAPPA Produktionsgesellschaft",2005,11,4,2001-2010
31500000.0,28,50.0,1979-08-15,89460381.0,153,Released,This is the end...,Apocalypse Now,8.0,2100,en,English,US,United States of America,Summer,1979,1979,Nominee,8349,Martin Sheen,1776,Francis Ford Coppola,"Drama, War","guerrilla, river, vietnam, vietcong, cambodia, army, insanity, tribe, green beret, jungle, apocalypse, death, napalm","United Artists, Zoetrope Studios",1979,8,2,1971-1990
14000000.0,33,37.4,1992-08-07,159157447.0,131,Released,Some legends will never be forgotten. Some wrongs can never be forgiven.,Unforgiven,7.7,1100,en,English,US,United States of America,Summer,1992,1992,Winner,190,Clint Eastwood,190,Clint Eastwood,Western,"prostitute, sheriff, bounty, regret, right and justice, revenge, mutilation, one last job, reputation, englishman","Malpaso Productions, Warner Bros.",1992,8,4,1991-2000
75000000.0,35,46.9,2007-07-25,527068851.0,87,Released,See our family. And feel better about yours.,The Simpsons Movie,6.9,2300,en,English,US,United States of America,Summer,0,0,Non-nominee,198,Dan Castellaneta,197,David Silverman,"Animation, Comedy, Family","father son relationship, lake, springfield, the simpsons, duff beer, garbage, pig, pollution, environmental protection agency, quarantine, alcoholism, love, alaska, dysfunctional family, dysfunctional marriage, ecology, saving lives, first love, duringcreditsstinger, donuts","Gracie Films, Twentieth Century Fox Film Corporation",2007,7,2,2001-2010
20000000.0,38,56.5,2004-03-19,72258126.0,108,Released,You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,3700,en,English,US,United States of America,Spring,0,0,Non-nominee,206,Jim Carrey,201,Michel Gondry,"Science Fiction, Drama, Romance","deja vu, regret, jealousy, amnesia, dream, operation, relationship problems, love, memory, brainwashing, relationship, heartbreak, nonlinear timeline, love story, bittersweet","Anonymous Content, This Is That Productions, Focus Features",2004,3,4,2001-2010
2000000.0,55,23.3,2000-06-16,20908467.0,154,Released,Love. Betrayal. Death.,Amores perros,7.6,500,es,Spanish,MX,Mexico,Summer,0,0,Non-nominee,258,Gael García Bernal,223,Alejandro González Iñárritu,"Drama, Thriller","homeless person, mexico city, daughter, secret love, dogfight, money, dog, nonlinear timeline, multiple storylines, new mexican cinema","Altavista Films, Zeta Film",2000,6,4,2001-2010
200000000.0,58,145.8,2006-06-20,1065659812.0,151,Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5200,en,English,JM,Jamaica,Summer,0,0,Non-nominee,85,Johnny Depp,1704,Gore Verbinski,"Adventure, Fantasy, Action","witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",2006,6,1,2001-2010
32000000.0,59,34.6,2005-09-23,60740827.0,96,Released,Tom Stall had the perfect life... until he became a hero.,A History of Violence,6.9,800,en,English,US,United States of America,Fall,0,0,Non-nominee,110,Viggo Mortensen,224,David Cronenberg,"Drama, Thriller, Crime","robbery, double life, dual identity, small town, indiana, distrust, fight, self-defense, marriage, family relationships, mistaken identity, diner, lawyer, mobster, violence, attempted robbery","New Line Cinema, DC Comics, BenderSpink",2005,9,4,2001-2010
10500000.0,62,86.2,1968-04-10,68700000.0,149,Released,An epic drama of adventure and exploration,2001: A Space Odyssey,7.9,3000,en,English,US,United States of America,Spring,0,0,Non-nominee,245,Keir Dullea,240,Stanley Kubrick,"Science Fiction, Mystery, Adventure","moon, jupiter, artificial intelligence, man vs machine, technology, super computer, human being, space travel, space mission, moon base, astronaut, evolution, monolith, space station","Stanley Kubrick Productions, Metro-Goldwyn-Mayer (MGM)",1968,4,2,1951-1970
41000000.0,65,32.8,2002-11-08,215000000.0,110,Released,Every moment is another chance.,8 Mile,6.8,1600,en,English,US,United States of America,Fall,0,0,Non-nominee,325,Eminem,323,Curtis Hanson,Drama,"individual, street gang, adolescence, rap music, hip-hop, rhyme battle, trailer park, ethnic stereotype, single, detroit, eminem","Imagine Entertainment, Mikona Productions GmbH & Co. KG",2002,11,4,2001-2010
50000000.0,66,13.6,1997-02-14,50068310.0,121,Released,Corrupts Absolutely.,Absolute Power,6.4,200,en,English,US,United States of America,Winter,0,0,Non-nominee,190,Clint Eastwood,190,Clint Eastwood,"Crime, Drama, Thriller","corruption, assassination, washington d.c., rape, white house, usa president, daughter, government, suspense, secret service, secret service agent","Columbia Pictures, Castle Rock Entertainment, Malpaso Productions",1997,2,4,1991-2000
15000000.0,68,41.1,1985-02-20,0.0,132,Released,It's only a state of mind.,Brazil,7.5,900,en,English,GB,United Kingdom,Winter,0,0,Non-nominee,378,Jonathan Pryce,280,Terry Gilliam,"Comedy, Science Fiction","bureaucracy, police state, terror, great britain, dream, dystopia, government, anarchic comedy",Embassy International Pictures,1985,2,2,1971-1990
28000000.0,69,35.6,2005-09-13,186438883.0,136,Released,Love is a burning thing.,Walk the Line,7.3,700,en,English,DE,Germany,Fall,0,0,Non-nominee,73421,Joaquin Phoenix,366,James Mangold,"Drama, Music, Romance","germany, prison, music record, adultery, country music, guitar, loss of brother, concert, marriage, single, accident, 1960s","Tree Line Films, Konrad Pictures, Catfish Productions, Fox 2000 Pictures, Mars Media Beteiligungs",2005,9,1,2001-2010
30000000.0,70,70.5,2004-12-15,216763646.0,132,Released,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Million Dollar Baby,7.7,2400,en,English,US,United States of America,Winter,2004,2004,Winner,190,Clint Eastwood,190,Clint Eastwood,Drama,"transporter, suicide attempt, strong woman, boxer, dying and death, stroke of fate, training, advancement, sport, female protagonist, boxing trainer, determination","Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, Warner Bros., Albert S. Ruddy Productions",2004,12,2,2001-2010
5000000.0,71,20.4,2000-05-18,110000000.0,110,Released,Inside every one of us is a special talent waiting to come out. The trick is finding it.,Billy Elliot,7.4,800,en,English,FR,France,Spring,0,0,Non-nominee,478,Jamie Bell,468,Stephen Daldry,"Drama, Comedy, Music","workers' quarter, dancing class, strike, northern england, scholarship, ballet","BBC Films, Tiger Aspect Productions, StudioCanal, Arts Council of England, Working Title Films, WT2 Productions",2000,5,3,2001-2010
20000000.0,73,73.6,1998-10-30,23875127.0,119,Released,Some Legacies Must End.,American History X,8.2,3000,en,English,US,United States of America,Fall,0,0,Non-nominee,819,Edward Norton,814,Tony Kaye,Drama,"usa, neo-nazi, prison, skinhead, brother brother relationship, rape, fascism, brother, basketball, jail, school, swastika, los angeles, family, hate, neo nazism, xenophobia, interracial friendship, nazism, prison rape","New Line Cinema, The Turman-Morrissey Company, Savoy Pictures",1998,10,4,1991-2000
132000000.0,74,48.6,2005-06-28,591739379.0,116,Released,They're already here.,War of the Worlds,6.2,2300,en,English,US,United States of America,Summer,0,0,Non-nominee,500,Tom Cruise,488,Steven Spielberg,"Adventure, Thriller, Science Fiction","post traumatic stress  disorder, new jersey, airplane, dystopia, daughter, apocalypse, alien invasion, human subjugation","Paramount Pictures, DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment",2005,6,1,2001-2010
70000000.0,75,44.1,1996-12-12,101371017.0,106,Released,Nice planet. We'll take it!,Mars Attacks!,6.1,1500,en,English,US,United States of America,Winter,0,0,Non-nominee,514,Jack Nicholson,510,Tim Burton,"Comedy, Fantasy, Science Fiction","saving the world, total destruction, white house, mars, usa president, cataclysm, lasergun, ambassador, congress, pest, flying saucer",Tim Burton Productions,1996,12,3,1991-2000
2500000.0,76,23.7,1995-01-27,5535405.0,105,Released,Can the greatest romance of your life last only one night?,Before Sunrise,7.7,1000,en,English,AT,Austria,Winter,0,0,Non-nominee,569,Ethan Hawke,564,Richard Linklater,"Drama, Romance","dialogue, sunrise, talking, soulmates, walking, austria, traveller, danube, bittersweet, romantic, vienna",Detour Film Production,1995,1,4,1991-2000
9000000.0,77,60.7,2000-10-11,39723096.0,113,Released,Some memories are best forgotten.,Memento,8.1,4000,en,English,US,United States of America,Fall,0,0,Non-nominee,529,Guy Pearce,525,Christopher Nolan,"Mystery, Thriller","individual, insulin, tattoo, waitress, amnesia, motel, insurance salesman, revenge, memory loss, polaroid, flashback, neo-noir","Summit Entertainment, Newmarket Capital Group, Team Todd, I Remember Productions",2000,10,2,2001-2010
28000000.0,78,94.1,1982-06-25,33139618.0,117,Released,Man has made his match... now it's his problem.,Blade Runner,7.9,3500,en,English,US,United States of America,Summer,0,0,Non-nominee,3,Harrison Ford,578,Ridley Scott,"Science Fiction, Drama, Thriller","artificial intelligence, man vs machine, cyborg, bounty hunter, android, dystopia, genetics, fugitive, cyberpunk, los angeles, tech noir, neo-noir","Shaw Brothers, Warner Bros., The Ladd Company",1982,6,4,1971-1990
31000000.0,79,23.6,2002-12-19,177394432.0,99,Released,One man's strength will unite an empire.,Hero,7.2,600,zh,Chinese,CN,China,Winter,0,0,Non-nominee,1336,Jet Li,607,Zhang Yimou,"Drama, Adventure, Action, History","countryside, loss of lover, right and justice, patriot","Beijing New Picture Film Co. Ltd., China Film Co-Production Corporation",2002,12,3,2001-2010
2700000.0,80,14.8,2004-02-10,15992615.0,80,Released,What if you had a second chance with the one that got away?,Before Sunset,7.6,700,en,English,US,United States of America,Winter,0,0,Non-nominee,569,Ethan Hawke,564,Richard Linklater,"Drama, Romance","paris, journalist, dialogue, talking, soulmates, walking, bookshop, love of one's life, author","Castle Rock Entertainment, Detour Film Production, Warner Independent Pictures (WIP)",2004,2,1,2001-2010
130000.0,83,15.6,2004-08-06,54667954.0,79,Released,Scream all you want.,Open Water,5.4,300,en,English,US,United States of America,Summer,0,0,Non-nominee,644,Blanchard Ryan,640,Chris Kentis,"Drama, Thriller","diving, cataclysm, nightmare, panic, red sea, primal fear, scuba diving, shark, scuba",Plunge Pictures LLC,2004,8,4,2001-2010
18000000.0,85,68.2,1981-06-12,389925971.0,115,Released,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Raiders of the Lost Ark,7.7,3900,en,English,US,United States of America,Summer,1981,1981,Nominee,3,Harrison Ford,488,Steven Spielberg,"Adventure, Action","saving the world, riddle, nepal, himalaya, cairo, moses, egypt, whip, treasure, medallion, leather jacket, nazis, hat, mediterranean, ark of the covenant, ten commandments, treasure hunt, excavation, swastika, archaeologist, indiana jones, archeology ","Lucasfilm, Paramount Pictures",1981,6,4,1971-1990
28000000.0,87,67.0,1984-05-23,333000000.0,118,Released,If adventure has a name... it must be Indiana Jones.,Indiana Jones and the Temple of Doom,7.1,2800,en,English,US,United States of America,Spring,0,0,Non-nominee,3,Harrison Ford,488,Steven Spielberg,"Adventure, Action","riddle, treasure, heart, skeleton, treasure hunt, torture, violence, monkey, cult film, archaeologist, thuggee, conveyor belt, mine car, rope bridge, belching, child driving a car, eating brains, splits, indiana jones, archeology ","Lucasfilm, Paramount Pictures",1984,5,2,1971-1990
48000000.0,89,81.0,1989-05-24,474171806.0,127,Released,"The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,7.6,3200,en,English,US,United States of America,Spring,0,0,Non-nominee,3,Harrison Ford,488,Steven Spielberg,"Adventure, Action","saving the world, venice, holy grail, library, riddle, father son relationship, whip, treasure, nazis, entrapment, crusader, treasure hunt, escape, panzer, order of the templars, archaeologist, indiana jones, archeology ","Lucasfilm, Paramount Pictures",1989,5,2,1971-1990
15000000.0,90,29.8,1984-11-29,316360478.0,105,Released,The Heat Is On!,Beverly Hills Cop,6.8,1000,en,English,US,United States of America,Fall,0,0,Non-nominee,776,Eddie Murphy,769,Martin Brest,"Action, Comedy, Crime","california, showdown, undercover, strip club, investigation, weapon, police, smuggling, swimming pool, gunfight, mansion, los angeles, foot chase, art gallery, car chase, warehouse, beverly hills, buddy comedy, country club, maverick cop, detroit michigan, damsel in distress, bar fight","Paramount Pictures, Eddie Murphy Productions",1984,11,3,1971-1990
140000000.0,95,58.5,1998-07-01,553799566.0,151,Released,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.4,2500,en,English,US,United States of America,Summer,0,0,Non-nominee,62,Bruce Willis,865,Michael Bay,"Action, Thriller, Science Fiction, Adventure","saving the world, paris, moon, cataclysm, asteroid, self sacrifice, nasa, space marine, loss of father, daughter, space, wedding, astronaut, eiffel tower paris, duringcreditsstinger, disaster movie, space centre","Jerry Bruckheimer Films, Touchstone Pictures, Valhalla Motion Pictures",1998,7,2,1991-2000
103000000.0,98,95.3,2000-05-01,457640427.0,155,Released,A Hero Will Rise.,Gladiator,7.9,5400,en,English,GB,United Kingdom,Spring,2000,2000,Winner,934,Russell Crowe,578,Ridley Scott,"Action, Drama, Adventure","rome, gladiator, arena, senate, roman empire, emperor, slavery, battlefield, blood, ancient world, father daughter relationship, combat, mother son relationship, dream sequence, chariot, philosopher, barbarian horde, 2nd century, successor","DreamWorks SKG, Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, C & L, Dawliz",2000,5,0,2001-2010
1350000.0,100,16.0,1998-03-05,3897569.0,105,Released,A Disgrace to Criminals Everywhere.,"Lock, Stock and Two Smoking Barrels",7.5,1600,en,English,GB,United Kingdom,Spring,0,0,Non-nominee,973,Jason Flemyng,956,Guy Ritchie,"Comedy, Crime","ambush, alcohol, shotgun, tea, joint, machismo, cocktail, rifle, marijuana, cockney accent, pot smoking, hatchet, antique, cardsharp, anger, carjacking, piano, strip show, high stakes","Handmade Films Ltd., Summit Entertainment, PolyGram Filmed Entertainment, SKA Films, The Steve Tisch Company",1998,3,3,1991-2000
1300000.0,103,58.8,1976-02-07,28262574.0,114,Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,8.0,2500,en,English,US,United States of America,Winter,1976,1976,Nominee,380,Robert De Niro,1032,Martin Scorsese,"Crime, Drama","vietnam veteran, taxi, obsession, drug dealer, night shift, vigilante, alienation, misanthrope, shot to death, illegal prostitution, loner","Columbia Pictures Corporation, Italo/Judeo Productions, Bill/Phillips",1976,2,5,1971-1990
1530000.0,104,27.4,1998-08-20,7267585.0,81,Released,Every second of every day you're faced with a decision that can change your life.,Run Lola Run,7.2,700,de,German,DE,Germany,Summer,0,0,Non-nominee,679,Franka Potente,1071,Tom Tykwer,"Action, Drama, Thriller","berlin, casino, nun, red hair, running, homeless person, supermarket, ambulance, subway, daughter, money, fate","X-Filme Creative Pool, Westdeutscher Rundfunk (WDR)",1998,8,3,1991-2000
19000000.0,105,76.6,1985-07-03,381109762.0,116,Released,He's the only kid ever to get into trouble before he was born.,Back to the Future,8.0,6100,en,English,US,United States of America,Summer,0,0,Non-nominee,521,Michael J. Fox,24,Robert Zemeckis,"Adventure, Comedy, Science Fiction, Family","clock tower, car race, terrorist, delorean, lightning, guitar, plutonium, sports car, inventor, journey in the past, time travel, race against time, partner, misfit, mad scientist, fish out of water, teenage love, destiny, hidden identity, odd couple, escapade, disorder, chases and races, love and romance, teenage life, misfit partners, changing the past or future, getting home, inventions and discoveries","Universal Pictures, Amblin Entertainment, U-Drive Productions",1985,7,2,1971-1990
18000000.0,106,50.0,1987-06-11,98235548.0,107,Released,"If it bleeds, we can kill it...",Predator,7.3,2100,en,English,US,United States of America,Summer,0,0,Non-nominee,1100,Arnold Schwarzenegger,1090,John McTiernan,"Science Fiction, Action, Adventure, Thriller","central and south america, predator, alien, stalking, invisible, commando, 3d","Twentieth Century Fox Film Corporation, Lawrence Gordon Productions, Davis Entertainment, Silver Pictures, Amercent Films, American Entertainment Partners L.P.",1987,6,3,1971-1990
10000000.0,107,53.6,2000-09-01,83557872.0,103,Released,Stealin' Stones and Breakin' Bones.,Snatch,7.7,2900,en,English,GB,United Kingdom,Fall,0,0,Non-nominee,976,Jason Statham,956,Guy Ritchie,"Thriller, Crime","gypsy, bare knuckle boxing, slang, trailer park, pig, sport, receiving of stolen goods, cockney accent, diamond, pikey","Columbia Pictures Corporation, Screen Gems, SKA Films",2000,9,4,2001-2010
25000000.0,111,70.1,1983-12-08,65884703.0,170,Released,The world is yours...,Scarface,8.0,2900,en,English,US,United States of America,Winter,0,0,Non-nominee,1158,Al Pacino,1150,Brian De Palma,"Action, Crime, Drama, Thriller","miami, corruption, capitalism, cuba, prohibition, brother sister relationship, loss of sister, cocaine, cult film, bitterness",Universal Pictures,1983,12,3,1971-1990
14000000.0,114,45.5,1990-03-23,463000000.0,119,Released,Who knew it was so much fun to be a hooker?,Pretty Woman,7.0,1700,en,English,US,United States of America,Spring,0,0,Non-nominee,1204,Julia Roberts,1201,Garry Marshall,"Romance, Comedy","prostitute, capitalism, cinderella, expensive restaurant, sports car, workaholic, fire escape, friendship, los angeles, piano","Touchstone Pictures, Silver Screen Partners IV",1990,3,4,1991-2000
15000000.0,115,49.2,1998-03-06,46189568.0,117,Released,Times like these call for a Big Lebowski.,The Big Lebowski,7.8,2900,en,English,GB,United Kingdom,Spring,0,0,Non-nominee,1229,Jeff Bridges,1223,Joel Coen,"Comedy, Crime","white russian, dude, bowling, vietnam veteran, carpet, nihilism, heart attack, kidnapping, lsd, marijuana, los angeles, millionaire, cowboy, ashes, impregnation, bowling team, unemployed, bowling ball, weeds","Gramercy Pictures, PolyGram Filmed Entertainment, Working Title Films",1998,3,4,1991-2000
15000000.0,116,30.7,2005-10-26,85306374.0,124,Released,Passion Temptation Obsession,Match Point,7.3,1100,en,English,IE,Ireland,Fall,0,0,Non-nominee,1244,Jonathan Rhys Meyers,1243,Woody Allen,"Drama, Thriller, Crime, Romance","love triangle, london england, upper class, adultery, tennis, river thames, love, wealth, lust, instructor, gold digger, social climbing, actress",DreamWorks,2005,10,2,2001-2010
25000000.0,117,38.3,1987-06-02,76270454.0,119,Released,What are you prepared to do?,The Untouchables,7.6,1400,en,English,US,United States of America,Summer,0,0,Non-nominee,1269,Kevin Costner,1150,Brian De Palma,"Crime, Drama, History, Thriller","white suit, al capone, tough cop, treasury agent, untouchable, tax evasion, jury tampering, rule of law, rooftop chase, cutting face while shaving, 1930s",Paramount Pictures,1987,6,1,1971-1990
150000000.0,118,53.9,2005-07-13,474968763.0,115,Released,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,6.7,3600,en,English,AU,Australia,Summer,0,0,Non-nominee,85,Johnny Depp,510,Tim Burton,"Adventure, Comedy, Family, Fantasy","london england, father son relationship, chocolate, factory worker, based on novel, parents kids relationship, candy, overweight child, grandfather grandson relationship, teacher","Village Roadshow Pictures, The Zanuck Company, Warner Bros., Tim Burton Productions, Plan B Entertainment, Theobald Film Productions",2005,7,2,2001-2010
93000000.0,120,138.0,2001-12-18,871368364.0,178,Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8.0,8700,en,English,NZ,New Zealand,Winter,2001,2001,Nominee,109,Elijah Wood,108,Peter Jackson,"Adventure, Fantasy, Action","elves, dwarves, orcs, middle-earth (tolkien), hobbit, based on novel, mountains, fireworks, castle, volcano, password, death of a friend, uncle, mirror, wizard, sword and sorcery","WingNut Films, New Line Cinema, The Saul Zaentz Company",2001,12,1,2001-2010
79000000.0,121,106.9,2002-12-18,926287400.0,179,Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8.0,7500,en,English,NZ,New Zealand,Winter,2002,2002,Nominee,109,Elijah Wood,108,Peter Jackson,"Adventure, Fantasy, Action","elves, orcs, middle-earth (tolkien), hobbit, based on novel, explosive, cave, fort, army, mission, attack, guide, wizard, ring, sword and sorcery","WingNut Films, New Line Cinema, The Saul Zaentz Company",2002,12,2,2001-2010
94000000.0,122,123.6,2003-12-01,1118888979.0,201,Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,8.1,8100,en,English,NZ,New Zealand,Winter,2003,2003,Winner,109,Elijah Wood,108,Peter Jackson,"Adventure, Fantasy, Action","elves, orcs, middle-earth (tolkien), based on novel, suspicion, bravery, war, honor, troll, brutality, violence, ghost, end of trilogy, quest, sword and sorcery","WingNut Films, New Line Cinema",2003,12,0,2001-2010
26500000.0,128,60.7,1997-07-12,159375308.0,134,Released,The Fate Of The World Rests On The Courage Of One Warrior.,Princess Mononoke,8.2,2000,ja,Japanese,JP,Japan,Summer,0,0,Non-nominee,622,Yōji Matsuda,608,Hayao Miyazaki,"Adventure, Fantasy, Animation","fight, wolf, village and town, iron, pan, wild boar, territory, friendship, princess, good vs evil, anime","Miramax Films, Studio Ghibli, Nibariki, Nippon Television Network (NTV)",1997,7,5,1991-2000
15000000.0,129,119.0,2001-07-20,274925095.0,125,Released,The tunnel led Chihiro to a mysterious town...,Spirited Away,8.3,3800,ja,Japanese,JP,Japan,Summer,0,0,Non-nominee,19587,Rumi Hiiragi,608,Hayao Miyazaki,"Fantasy, Adventure, Animation, Family","witch, parents kids relationship, magic, twilight, darkness, village and town, bath house, pig, ghost world, biology, train, amusement park, yokai, japanese mythology, anime",Studio Ghibli,2001,7,4,2001-2010
26000000.0,134,39.7,2000-08-30,71868327.0,106,Released,They have a plan...but not a clue.,"O Brother, Where Art Thou?",7.3,1100,en,English,FR,France,Summer,0,0,Non-nominee,1461,George Clooney,1223,Joel Coen,"Action, Adventure, Comedy","prophecy, southern usa, music record, country music, mississippi, seduction, musical, fraud","Universal Pictures, Mike Zoss Productions, Studio Canal, Touchstone Pictures, Working Title Films",2000,8,2,2001-2010
